zone	区域
prose	散文
sheet	床单
nap	小睡
lash	鞭打
fence	栅栏
finding	发现
wrap	包裹
utter	完全的
rough	粗糙的
weary	疲惫的
footstep	脚步声
lever	杠杆
freelance	自由职业的
passion	激情
panel	面板
tale	故事
knot	结
chin	下巴
height	高度
heighten	提高
setback	挫折
scold	责骂
scorn	轻蔑
rage	愤怒
freeze	冻结
forge	锻造
daunt	吓倒
opt	选择
option	选项
optional	可选的
mud	泥巴
limb	肢体
swan	天鹅
lightning	闪电
enlighten	启发
prone	易于，倾向
quit	辞职，停止
melt	融化
riot	骚乱
fisherman	渔夫
excursion	远足
pace	步伐
genius	天才
chap	小伙子
trim	修剪
thigh	大腿
eligible	有资格的
metropolitan	大都市的
weld	焊接
collide	碰撞
collision	碰撞
later	稍后
retail	零售
slap	拍打
epoch	时代
flood	洪水
bald	秃头的
voyage	航行
acrobat	杂技演员
stoop	弯腰
abide	遵守
token	标志，象征
tumor	肿瘤
exaggerate	夸张
spoil	毁坏
fluid	流体
membership	会员资格
toll	通行费
tremble	颤抖
wit	机智
linguistic	语言的
edible	可食用的
throne	王座
slum	贫民窟
trunk	行李箱
hip	臀部
hop	跳跃
scarce	稀缺的
scarcely	几乎不
hearing	听力
mixture	混合物
pit	坑
shoot	射击
observation	观察
redundant	多余的
tuck	卷起
malignant	恶性的
remark	评论
remarkable	非凡的
scream	尖叫
attitude	态度
altitude	高度
latitude	纬度
efficient	高效的
efficiency	效率
whip	鞭子
reckon	认为
poison	毒药
poisonous	有毒的
inner	内在的
input	输入
inlet	入口
hurl	猛投
cloudy	多云的
tar	柏油
limited	有限的
limitation	限制
penalty	惩罚
saw	锯
catastrophe	灾难
parameter	参数
thermometer	温度计
pottery	陶器
serial	连续的
atom	原子
batch	一批
invade	入侵
invasion	入侵
drought	干旱
mode	模式
phenomenon	现象
limp	无力的
navigation	航行，导航
graze	擦伤
infect	感染
infectious	传染的
bug	虫子
qualify	使具有资格
qualification	资格
qualitative	定性的
expand	扩展
expansion	扩展
thereafter	此后
thereby	从而
bill	账单
redeem	赎回
pebble	鹅卵石
defer	推迟
correlate	相关
relative	相对的
relativity	相对论
pinch	捏
punch	拳打
confidential	机密的
via	通过
petition	请愿
excitement	兴奋
sole	唯一的
deceit	欺骗
deceive	欺骗
valid	有效的
invalid	无效的
absolute	绝对的
journey	旅行
gap	差距
inspire	激励
inspiration	灵感
obstacle	障碍
owing	由于
tend	倾向
tendency	倾向
witness	目击者
mob	暴民
cement	水泥
quest	追求
strenuous	费力的
duplicate	复制
notwithstanding	尽管
imply	暗示
accord	协议
accordance	一致
accordingly	因此
reserve	保留
reservation	预定
quota	配额
toe	脚趾
collapse	崩溃
deplore	哀叹
routine	常规
drift	漂流
lyric	抒情的
lottery	彩票
tempo	节奏
discipline	纪律
ideal	理想
diligent	勤奋的
storey	楼层
drill	钻孔
prey	猎物
nasty	恶心的
avail	有用
available	可用的
gratitude	感激
intermediate	中间的
image	形象
imagine	想象
imaginary	虚构的
imagination	想象力
imaginative	富有想象力的
verge	边缘
ore	矿石
monetary	货币的
fade	褪色
vary	变化
various	各种各样的
variety	多样性
variation	变化
variable	可变的
invariable	不变的
flight	飞行
portion	部分
explode	爆炸
explosion	爆炸
explosive	爆炸性的
divine	神圣的
flap	拍打
horizon	地平线
horizontal	水平的
debt	债务
mild	温和的
dairy	乳制品
eternal	永恒的
vest	背心
anchor	锚
prototype	原型
pack	包裹
package	包裹
packet	小包
secretary	秘书
tap	轻敲
razor	剃刀
sequence	序列
studio	工作室
surrender	投降
gender	性别
ancestor	祖先
loose	松的
loosen	放松
complement	补充
radical	激进的
drama	戏剧
dramatic	戏剧性的
wreath	花环
bosom	胸部
means	手段
pearl	珍珠
mat	垫子
locker	储物柜
territory	领土
ghost	鬼魂
partly	部分地
partial	部分的
counterpart	对应物
impart	传授
quote	引用
fascinate	使着迷
timber	木材
spine	脊柱
numerous	众多的
numerical	数字的
innumerable	无数的
carpet	地毯
galaxy	银河系
iron	铁
irony	讽刺
disgust	厌恶
victim	受害者
intrude	侵入
estimate	估计
slice	切片
frost	霜
condense	凝结
junk	垃圾
subtle	微妙的
skeptical	怀疑的
cripple	使残疾
doorway	门口
indoor	室内的
maneuver	操控
apt	恰当的
wicked	邪恶的
clasp	扣紧
evoke	唤起
temporary	临时的
scan	扫描
glare	刺眼的光
ordinary	普通的
extraordinary	非凡的
grace	优雅
graceful	优雅的
gracious	亲切的
disgrace	耻辱
commence	开始
artificial	人工的
inn	小旅馆
enormous	巨大的
belly	腹部
pioneer	先锋
noticeable	显著的
immune	免疫的
cereal	谷物
establish	建立
establishment	建立
associate	关联
association	协会
integral	完整的
integrate	整合
integrity	正直
singular	单一的
compliment	恭维
void	空虚的
particle	粒子
questionnaire	问卷
advisable	可取的
decimal	小数
hover	盘旋
